410421156	20140218	201402	2014	2014.1315											CAN	SASKATCHEWAN	CAN								1	060	060	06	2	6.0	5	1	5	-1.28205128205128	0								4	Blue Sky, Alberta, Canada	CA	CA01	154724	56.0667	-118.25	-561397	4	Blue Sky, Alberta, Canada	CA	CA01	154724	56.0667	-118.25	-561397	20150218234500	http://www.cbc.ca/news/canada/saskatchewan/january-housing-sales-in-sask-down-22-per-cent-1.2962328
410421157	20140218	201402	2014	2014.1315											HLH	HOSPITAL						HLH			1	042	042	04	1	1.9	10	1	10	-1.46198830409357	0								3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20150218234500	http://www.examiner.com/article/chevy-chase-weight-gain-actor-s-shocking-appearance-alarms-viewers
410421158	20140218	201402	2014	2014.1315	BUS	PRODUCER						BUS			MED	TELEVISION						MED			0	190	190	19	4	-10.0	10	1	10	-3.95569620253164	0								0								0								20150218234500	http://www.floridatoday.com/story/news/local/2015/02/18/torres-family-clings-faith-unsolved-murder/23630043/
410421159	20140218	201402	2014	2014.1315	COP	POLICE						COP			USA	KANSAS	USA								1	193	193	19	4	-10.0	10	1	10	-6.13718411552347	3	Sedgwick County, Kansas, United States	US	USKS	KS173	37.7167	-97.4503	485049	3	Sedgwick County, Kansas, United States	US	USKS		37.7167	-97.4503	485049	3	Sedgwick County, Kansas, United States	US	USKS		37.7167	-97.4503	485049	20150218234500	http://www.tulsaworld.com/homepagelatest/tulsa-man-named-in-november-double-homicide-investigation-found-dead/article_708c1dc4-244c-5fe3-b620-b06f680205de.html
410421160	20140218	201402	2014	2014.1315	DNK	DENMARK	DNK								USA	WASHINGTON	USA								0	013	013	01	1	0.4	3	1	3	-5.75539568345323	4	Krarup, Syddanmark, Denmark	DA	DA21	15112	55.7135	8.65659	-2745767	4	Krarup, Syddanmark, Denmark	DA	DA21	15112	55.7135	8.65659	-2745767	4	Krarup, Syddanmark, Denmark	DA	DA21	15112	55.7135	8.65659	-2745767	20150218234500	http://mic.com/articles/110836/norway-s-muslims-just-proved-that-islam-is-a-religion-of-peace
410421161	20140218	201402	2014	2014.1315	DNK	DENMARK	DNK								USA	UNITED STATES	USA								0	013	013	01	1	0.4	2	1	2	-5.75539568345323	4	Krarup, Syddanmark, Denmark	DA	DA21	15112	55.7135	8.65659	-2745767	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	4	Krarup, Syddanmark, Denmark	DA	DA21	15112	55.7135	8.65659	-2745767	20150218234500	http://mic.com/articles/110836/norway-s-muslims-just-proved-that-islam-is-a-religion-of-peace
410421162	20140218	201402	2014	2014.1315	DNK	DENMARK	DNK								USA	WASHINGTON	USA								0	013	013	01	1	0.4	1	1	1	-5.75539568345323	4	Krarup, Syddanmark, Denmark	DA	DA21	15112	55.7135	8.65659	-2745767	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	3	Washington, District of Columbia, United States	US	USDC	DC001	38.8951	-77.0364	531871	20150218234500	http://mic.com/articles/110836/norway-s-muslims-just-proved-that-islam-is-a-religion-of-peace
410421163	20140218	201402	2014	2014.1315	EUR	EUROPE	EUR								DNK	DENMARK	DNK								1	051	051	05	1	3.4	4	1	4	5.26315789473685	1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	1	Denmark	DA	DA		56	10	DA	20150218234500	http://www.setanta.com/us/Articles/2015/02/18/Clarke-named-Ryder-Cup-captain/gnid-169777/
410421164	20140218	201402	2014	2014.1315	FIN	FINN	FIN								EDUEDU	COLLEGE						EDU	EDU		1	070	070	07	2	7.0	8	1	8	3.30882352941176	0		NZ	NZF7		-45.25	169.5	11483306	0		NZ	NZF7		-45.25	169.5	11483306	0		NZ	NZF7		-45.25	169.5	11483306	20150218234500	http://www.stuff.co.nz/nelson-mail/news/66385270/Sacrificing-lunchtime-pays-off
410421165	20140218	201402	2014	2014.1315	FIN	FINN	FIN								EDUEDU	COLLEGE						EDU	EDU		1	130	130	13	3	-4.4	8	1	8	3.30882352941176	0		NZ	NZF7		-45.25	169.5	11483306	0		NZ	NZF7		-45.25	169.5	11483306	0		NZ	NZF7		-45.25	169.5	11483306	20150218234500	http://www.stuff.co.nz/nelson-mail/news/66385270/Sacrificing-lunchtime-pays-off
